TransactionID,mean_,sum_,cnt_
3124324,0.03333333333333333,1,30
3124351,0.03333333333333333,1,30
3124421,0.0,0,47
3125032,0.0,0,1
3125116,0.03333333333333333,1,30
3125121,0.03333333333333333,1,30
3125210,0.0,0,5
3125447,0.0,0,10
3125763,0.0,0,1
3126644,0.0,0,1
3126718,0.0,0,1
3127742,0.0,0,5
3129278,0.0,0,1
3129892,0.0,0,0
3130106,0.0,0,5
3126777,0.0,0,3
3127242,0.0,0,5
3127444,0.0,0,4
3127501,0.03333333333333333,1,30
3128101,0.03333333333333333,1,30
3128117,0.03333333333333333,1,30
3128135,0.0,0,1
3128501,0.03333333333333333,1,30
3128909,0.0,0,1
3129163,0.02564102564102564,1,39
3130639,0.014492753623188406,1,69
3131638,0.0,0,2
3131922,0.0,0,1
3132925,0.0,0,3
3133132,0.0,0,1
3134329,0.0,0,1
3130869,0.1111111111111111,1,9
3131126,0.0,0,14
3131129,0.0,0,14
3132607,0.0,0,1
3133020,0.0,0,14
3133032,0.0,0,14
3133045,0.0,0,23
3130662,0.0,0,1
3131071,0.03333333333333333,1,30
3131081,0.0,0,19
3131247,0.0,0,8
3131318,0.03333333333333333,1,30
3131327,0.0,0,17
3131376,0.0,0,1
3131381,0.0,0,14
3131383,0.0,0,1
3131448,0.0,0,14
3131457,0.0,0,14
3131504,0.0,0,1
3131847,0.0,0,3
3131857,0.0,0,5
3132632,0.0,0,1
3133145,0.0,0,3
3133238,0.02564102564102564,1,39
3133617,0.0,0,1
3134075,0.0,0,10
3134092,0.0,0,10
3134095,0.0,0,10
3134100,0.0,0,10
3134194,0.0,0,1
3134665,0.0,0,1
3135511,0.0,0,14
3135720,0.0,0,6
3136088,0.0,0,1
3136198,0.0,0,1
3135327,0.0,0,10
3136016,0.0,0,2
3134829,0.0,0,16
3134889,0.0,0,16
3136751,0.0,0,4
3134396,0.0,0,1
3135219,0.0,0,3
3135258,0.0,0,3
3135269,0.0,0,3
3135281,0.0,0,2
3136081,0.0,0,17
3136166,0.0,0,2
3136824,0.0,0,17
3137257,0.0,0,12
3138373,0.0,0,3
3139200,0.0,0,7
3139522,0.0,0,1
3139891,0.0,0,1
3140154,0.0,0,13
3140216,0.0,0,0
3139110,0.0,0,6
3139112,0.0,0,6
3139328,0.0,0,1
3139391,0.0,0,6
3139585,0.0,0,0
3139698,0.0,0,1
3140069,0.0,0,6
3140711,0.0,0,11
